Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
ZOZI,12 Nov 2015,9.34,9.34,9.34,9.34,0
ZOZI,13 Nov 2015,9.32,9.37,9.32,9.37,3068
ZOZI,16 Nov 2015,9.37,9.37,9.37,9.37,0
ZOZI,17 Nov 2015,9.33,9.33,9.33,9.33,107
ZOZI,18 Nov 2015,9.33,9.33,9.33,9.33,0
ZOZI,19 Nov 2015,9.33,9.33,9.33,9.33,0
ZOZI,20 Nov 2015,9.74,9.74,9.71,9.71,700
ZOZI,23 Nov 2015,9.71,9.71,9.71,9.71,0
ZOZI,24 Nov 2015,9.71,9.71,9.71,9.71,479
ZOZI,25 Nov 2015,9.71,9.71,9.71,9.71,0
ZOZI,26 Nov 2015,9.71,9.71,9.71,9.71,0
ZOZI,27 Nov 2015,9.66,9.66,9.66,9.66,500
ZOZI,30 Nov 2015,9.6,9.6,9.6,9.6,1100
ZOZI,01 Dec 2015,9.6,9.6,9.6,9.6,150
ZOZI,02 Dec 2015,9.6,9.6,9.6,9.6,0
ZOZI,03 Dec 2015,9.65,9.65,9.64,9.64,660
ZOZI,04 Dec 2015,9.64,9.64,9.64,9.64,0
ZOZI,07 Dec 2015,9.64,9.64,9.64,9.64,0
ZOZI,08 Dec 2015,9.64,9.64,9.64,9.64,0
ZOZI,09 Dec 2015,9.4,9.4,9.4,9.4,64
ZOZI,10 Dec 2015,9.41,9.41,9.41,9.41,106
ZOZI,11 Dec 2015,9.41,9.41,9.41,9.41,0
ZOZI,14 Dec 2015,9.41,9.41,9.41,9.41,0
ZOZI,15 Dec 2015,9.14,9.14,9.14,9.14,550
ZOZI,16 Dec 2015,9.14,9.14,9.14,9.14,0
ZOZI,17 Dec 2015,9.14,9.14,9.14,9.14,0
ZOZI,18 Dec 2015,9.43,9.43,9.43,9.43,130
ZOZI,21 Dec 2015,9.41,9.41,9.41,9.41,130
ZOZI,22 Dec 2015,9.41,9.41,9.41,9.41,0
ZOZI,23 Dec 2015,9.41,9.41,9.41,9.41,0
ZOZI,24 Dec 2015,9.62,9.62,9.62,9.62,203
ZOZI,29 Dec 2015,9.62,9.62,9.62,9.62,0
ZOZI,30 Dec 2015,9.62,9.62,9.62,9.62,0
ZOZI,31 Dec 2015,9.62,9.62,9.62,9.62,0
ZOZI,04 Jan 2016,9.71,9.71,9.65,9.65,3081
ZOZI,05 Jan 2016,9.53,9.53,9.53,9.53,768
ZOZI,06 Jan 2016,9.48,9.48,9.48,9.48,50
ZOZI,07 Jan 2016,9.35,9.35,9.28,9.28,27395
ZOZI,08 Jan 2016,9.03,9.11,9.03,9.11,1786
ZOZI,11 Jan 2016,9.11,9.11,9.11,9.11,0
ZOZI,12 Jan 2016,9.11,9.11,9.11,9.11,0
ZOZI,13 Jan 2016,9.11,9.11,9.11,9.11,0
ZOZI,14 Jan 2016,8.97,8.97,8.95,8.95,1539
ZOZI,15 Jan 2016,8.95,8.95,8.95,8.95,0
ZOZI,18 Jan 2016,8.8,8.8,8.8,8.8,25
ZOZI,19 Jan 2016,8.8,8.8,8.8,8.8,0
ZOZI,20 Jan 2016,8.8,8.8,8.8,8.8,0
ZOZI,21 Jan 2016,8.8,8.8,8.8,8.8,0
ZOZI,22 Jan 2016,8.8,8.8,8.8,8.8,0
ZOZI,25 Jan 2016,9.07,9.07,9.07,9.07,218
ZOZI,27 Jan 2016,9.09,9.09,9.09,9.09,100
ZOZI,28 Jan 2016,9.06,9.06,9.06,9.06,5500
ZOZI,29 Jan 2016,9.06,9.06,9.06,9.06,2249
