Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
ZYAU,15 Jan 2016,9.32,9.32,9.32,9.32,0
ZYAU,18 Jan 2016,9.05,9.05,9.02,9.02,6525
ZYAU,19 Jan 2016,9.03,9.12,9.03,9.12,3820
ZYAU,20 Jan 2016,9.12,9.12,9.12,9.12,0
ZYAU,21 Jan 2016,9.14,9.14,9.14,9.14,500
ZYAU,22 Jan 2016,9.14,9.14,9.14,9.14,0
ZYAU,25 Jan 2016,9.14,9.14,9.14,9.14,0
ZYAU,27 Jan 2016,9.14,9.14,9.14,9.14,0
ZYAU,28 Jan 2016,9.14,9.14,9.14,9.14,0
ZYAU,29 Jan 2016,9.33,9.33,9.3,9.32,12239
ZYAU,01 Feb 2016,9.32,9.32,9.32,9.32,0
ZYAU,02 Feb 2016,9.32,9.32,9.32,9.32,0
ZYAU,03 Feb 2016,9.19,9.19,9.13,9.13,8718
ZYAU,04 Feb 2016,9.13,9.13,9.13,9.13,0
ZYAU,05 Feb 2016,9.13,9.13,9.13,9.13,0
ZYAU,08 Feb 2016,9.2,9.2,9.18,9.18,4897
ZYAU,09 Feb 2016,9.18,9.18,9.18,9.18,0
ZYAU,10 Feb 2016,9.18,9.18,9.18,9.18,0
ZYAU,11 Feb 2016,9,9,9,9,110
ZYAU,12 Feb 2016,9,9,9,9,0
ZYAU,15 Feb 2016,9,9,9,9,1249
ZYAU,16 Feb 2016,9,9,9,9,0
ZYAU,17 Feb 2016,9.14,9.14,9.13,9.13,7164
ZYAU,18 Feb 2016,9.13,9.13,9.13,9.13,0
ZYAU,19 Feb 2016,9.19,9.19,9.19,9.19,200
ZYAU,22 Feb 2016,9.19,9.19,9.19,9.19,0
ZYAU,23 Feb 2016,9.22,9.22,9.22,9.22,68
ZYAU,24 Feb 2016,9.18,9.18,9.18,9.18,69
ZYAU,25 Feb 2016,9.09,9.09,9.09,9.09,1091
ZYAU,26 Feb 2016,9.09,9.09,9.09,9.09,0
ZYAU,29 Feb 2016,9.09,9.09,9.09,9.09,0
ZYAU,01 Mar 2016,9.09,9.09,9.09,9.09,0
ZYAU,02 Mar 2016,9.09,9.09,9.09,9.09,0
ZYAU,03 Mar 2016,9.4,9.4,9.4,9.4,500
ZYAU,04 Mar 2016,9.43,9.43,9.43,9.43,105
ZYAU,07 Mar 2016,9.51,9.51,9.51,9.51,4200
ZYAU,08 Mar 2016,9.54,9.54,9.43,9.43,5841
ZYAU,09 Mar 2016,9.44,9.44,9.44,9.44,4340
ZYAU,10 Mar 2016,9.55,9.55,9.55,9.55,59874
ZYAU,11 Mar 2016,9.47,9.52,9.47,9.52,5712
ZYAU,14 Mar 2016,9.52,9.52,9.52,9.52,0
ZYAU,15 Mar 2016,9.47,9.47,9.42,9.42,8390
ZYAU,16 Mar 2016,9.42,9.43,9.42,9.43,1960
ZYAU,17 Mar 2016,9.55,9.55,9.55,9.55,750
ZYAU,18 Mar 2016,9.62,9.62,9.61,9.61,3120
ZYAU,21 Mar 2016,9.6,9.6,9.58,9.58,382
ZYAU,22 Mar 2016,9.59,9.59,9.59,9.59,9395
ZYAU,23 Mar 2016,9.59,9.59,9.59,9.59,0
ZYAU,24 Mar 2016,9.59,9.59,9.59,9.59,0
ZYAU,29 Mar 2016,9.59,9.59,9.59,9.59,0
ZYAU,30 Mar 2016,9.59,9.59,9.59,9.59,0
ZYAU,31 Mar 2016,9.59,9.59,9.59,9.59,0
ZYAU,01 Apr 2016,9.59,9.59,9.59,9.59,0
